Job,Link,Company,Location,Classification,Subclassification,Type,Date_Posted,Description
Senior Data Engineer,,at Younity,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Business Analyst,,at Sorted Logistics,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Remote Analyst,,at CoLab Wine Merchants,"Auckland CBD, Auckland",Sales,Analysis & Reporting,,,
Venture Analyst (part time flexible),,at AUT Ventures Ltd,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Commercial Analyst,,at MOVe Group,"Wiri, Auckland",Accounting,Analysis & Reporting,,,
Systems Analyst,,at Join Our Team,"Te Awamutu, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
ERP Support Analyst,,at Temperzone,"Mangere, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Head of Card Operations & Analytics,,at Card Works Limited,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Analyst - Remediation (Fixed-term Maternity Cover),,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Analytics Engineer,,at New Zealand Qualifications Authority,"Wellington Central, Wellington",Information & Communication Technology,Engineering - Software,,,
Senior Data Scientist,,at Franklin Smith,Auckland,Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Senior Business Analyst,,at Education Payroll Limited,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Systems Analyst & Support,,at Bureau Limited,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Principal Intelligence Analyst,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Government & Defence,Other,,,
Data Analyst,,at Ventia,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
ePMO Portfolio Analyst,,at Southern Cross Healthcare (NZ),"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Data Engineer,,at Alexander James Limited,"Auckland CBD, Auckland",Information & Communication Technology,Other,,,
System Analyst,,at CAA/Avsec,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Application Support Analyst/Developer,,at Crew Technology Recruitment,"Dunedin Central, Otago",Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Engineer,,at Lexel - Resourcing as a Service,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Business Analyst,,at Hays | Technology,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Engineer,,at Franklin Smith,Auckland,Information & Communication Technology,Developers/Programmers,,,
Senior BI Analyst,,at Cawthron,"Nelson Central, Tasman",Information & Communication Technology,Business/Systems Analysts,,,
Data Scientist,,at Veriphi Ltd,"Devonport, Auckland",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Reporting Analyst,,at Department of Internal Affairs,Wellington,Government & Defence,Government,,,
Energy Analyst,,at NZX Talent,"Wellington Central, Wellington","Mining, Resources & Energy",Analysis & Reporting,,,
Senior Analyst Data Analytics - Audit,,at ASB Bank Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Senior Accounting Position,,at Flannery Tait,"Alexandra, Otago",Accounting,Financial Accounting & Reporting,,,
Health and Safety Business Partner,,at GNS Science,"Taupo Central, Waikato",Human Resources & Recruitment,Occupational Health & Safety,,,
Senior Business Analyst - Wellington,,at Assurity Consulting Limited,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior BI Analyst,,at ANZ Banking group,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Data Consultant,,at Spark New Zealand Trading Limited,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
HR Data Analyst,,at ProgressionHR,"Auckland CBD, Auckland",Human Resources & Recruitment,Consulting & Generalist HR,,,
Workforce Planning & Analytics Lead,,at ACC New Zealand,"Auckland CBD, Auckland",Human Resources & Recruitment,Other,,,
Business Analyst / Business Case Writer - Contract,,at Taska360,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Intelligence Analyst_Contract Role,,at Presto Resourcing,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Service Analyst,,at Toyota,"Palmerston North Central, Manawatu",Accounting,Analysis & Reporting,,,
Insights Advisor,,at The University of Auckland,"Auckland CBD, Auckland",Marketing & Communications,Market Research & Analysis,,,
Analyst - Green Bond,,at The Treasury,"Wellington Central, Wellington",Information & Communication Technology,Programme & Project Management,,,
Head of Data,,at Tower Limited,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Data Governance and Insights Advisor,,at WorkSafe New Zealand,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Data Engineer,,at Potentia Wellington,"Christchurch Central, Canterbury",Information & Communication Technology,Database Development & Administration,,,
Senior Technical Analyst,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Azure Data Engineer,,at 40 Foot Consulting Limited,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Data Engineer,,at Procare,"Parnell, Auckland",Information & Communication Technology,Engineering - Software,,,
Data Engineer/Analyst,,at Ando,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Portfolio Analyst,,at Stats NZ,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Business Intelligence Analyst,,at AugmentX,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
PowerBi Specialist,,at Asset Recruitment Ltd,"Hamilton, Waikato",Information & Communication Technology,Database Development & Administration,,,
Marketing Specialist,,at IKO Metals,"Auckland CBD, Auckland",Marketing & Communications,Marketing Communications,,,
Senior Workday HCM Analyst,,at Xero,"Te Aro, Wellington",Information & Communication Technology,Developers/Programmers,,,
Kaitohutohu Mātāmua/Principal Advisor – Rainbow Communities Data,,at Stats NZ,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Senior Fraud Analyst,,at ANZ Banking group,"Wellington Central, Wellington",Banking & Financial Services,Banking - Business,,,
Remote Senior Data Engineer,,at Franklin Smith,"Hamilton, Waikato",Information & Communication Technology,Developers/Programmers,,,
Intelligence Targeting Analyst,,"at Ministry of Business, Innovation and Employment","Christchurch Central, Canterbury",Government & Defence,Government,,,
Intelligence Targeting Analyst,,"at Ministry of Business, Innovation and Employment","Auckland Airport, Auckland",Government & Defence,Government,,,
Data Mining Specialist,,at China Construction Bank (New Zealand) Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
"Kaitātari Matua | Senior Analyst - Insights, Planning & Performance",,at Ministry for the Environment,"Wellington Central, Wellington",Accounting,Strategy & Planning,,,
Commercial Analyst,,at Archway Recruitment,"Porirua, Wellington",Accounting,Analysis & Reporting,,,
Pricing and Portfolio Analyst,,at BNZ,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Technical Analyst,,at Computer Concepts Limited,"Christchurch Central, Canterbury",Information & Communication Technology,Help Desk & IT Support,,,
Data Engineer,,at Recruit I.T. Auckland,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Commercial Analyst,,at Movinghub,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
Data Engineer,,at Westpac,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Senior Data Engineer,,at Comspek International Limited,Auckland,Information & Communication Technology,Database Development & Administration,,,
Data Administrator Contract,,at Find Recruitment Limited,"Upper Hutt, Wellington",Administration & Office Support,Data Entry & Word Processing,,,
Qualitative Lead - Research & Insights,,at TRA Group,"Auckland CBD, Auckland",Marketing & Communications,Market Research & Analysis,,,
Maximo Application Support Analyst,,at RealNZ,"Te Anau, Southland",Administration & Office Support,Other,,,
Senior Data Quality Analyst,,at BNZ,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Workforce Planning & Analytics Lead,,at ACC New Zealand,Wellington,Human Resources & Recruitment,Other,,,
Senior Data Engineer,,at Ministry for Primary Industries,"Wellington Central, Wellington",Information & Communication Technology,Engineering - Software,,,
ERP Support Analyst,,at Temperzone,"Mangere, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Geospatial Data Analyst,,at Watercare Services Limited,"Newmarket, Auckland",Information & Communication Technology,Database Development & Administration,,,
GIS Business Analyst,,at Northland Regional Council,"Whangarei Central, Northland",Information & Communication Technology,Database Development & Administration,,,
Dairy Farm Business Analyst,,at Pāmu,"Ashburton, Canterbury","Farming, Animals & Conservation",Agronomy & Farm Services,,,
Senior Business Analyst,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Business & Performance Analyst,,at Marlborough Primary Health,"Blenheim Central, Marlborough",Information & Communication Technology,Business/Systems Analysts,,,
Data Insights Analyst,,at Pulse Energy Alliance LP,"Mount Eden, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Financial Systems Analyst,,at Chapman Tripp,"Auckland CBD, Auckland",Accounting,Systems Accounting & IT Audit,,,
Data Services Engineer,,at ANZ Banking group,"Auckland CBD, Auckland",Information & Communication Technology,Security,,,
Tech Lead - Data and Insights,,at Flick Electric Co.,"Wellington Central, Wellington",Information & Communication Technology,Team Leaders,,,
Business Analyst (Cloud) - 6 Month Contract,,at Robert Half Management Resources,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Procurement Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"Auckland CBD, Auckland",Consulting & Strategy,Corporate Development,,,
Pricing Strategy Analyst (Hybrid),,at OfficeMax New Zealand Limited,"East Tamaki, Auckland","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Business Analyst,,at Crew Technology Recruitment,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Engineer,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Field Sales Analyst & Co-Ordinator,,at Kenvue,"Auckland CBD, Auckland",Sales,Analysis & Reporting,,,
Senior Analyst,,at Department of the Prime Minister and Cabinet,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Performance Analyst,,at ETEL Ltd,"Avondale, Auckland",Accounting,Analysis & Reporting,,,
Category & Insights Analyst,,at Vitaco Health NZ Ltd,"Manukau & East Auckland, Auckland",Marketing & Communications,Market Research & Analysis,,,
Analyst - Green Bonds,,at The Treasury,"Wellington Central, Wellington",Government & Defence,Other,,,
Senior Intelligence Analyst,,at Department of Internal Affairs,Auckland,Government & Defence,Government,,,
Solutions Analyst,,at PwC NZ,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Health and Safety Business Partner,,at GNS Science,"Taupo Central, Waikato",Human Resources & Recruitment,Occupational Health & Safety,,,
Senior Analyst,,at Electricity Authority,"Wellington Central, Wellington",Government & Defence,Government,,,
IS Operations Centre Analyst,,at New Zealand Customs Service,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Supply Chain Analyst,,at Adama New Zealand Limited,"Nelson Central, Tasman","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Business Consultant (Analyst),,at Foster Moore International Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Senior Data Engineer,,at Franklin Smith,Auckland,Information & Communication Technology,Developers/Programmers,,,
Production Data Analyst,,at Essity,"Kawerau, Bay of Plenty","Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",,,
Intelligence Targeting Analyst,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Government & Defence,Government,,,
Analyst Pricing Platforms,,at Suncorp,"Auckland CBD, Auckland",Insurance & Superannuation,Other,,,
"Analyst (Full time), MH&A Planning and Funding, Te Whatu Ora",,at Te Whatu Ora Heath New Zealand- Counties Manukau,"Manukau, Auckland",Consulting & Strategy,Analysts,,,
Data Engineer,,at Absolute IT Limited,Auckland,Information & Communication Technology,Database Development & Administration,,,
Kaitātari Mana Raraunga | Data Analyst,,at Te Tumu Paeroa,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Consulting - Data Strategy & Governance - Senior Analyst / Manager - Auckland,,at PwC NZ,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Digital Analyst,,at MetService,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Support Analyst (Technical),,at Absolute IT Limited,"Christchurch Central, Canterbury",Information & Communication Technology,Help Desk & IT Support,,,
Finance Solutions Analyst,,at Foodstuffs North Island Ltd,"Mangere, Auckland",Accounting,Analysis & Reporting,,,
Finance Analyst,,at Robert Walters,"Wellington Central, Wellington",Accounting,Other,,,
"Reporting & Systems Analyst (Christchurch, Auckland or Wellington)",,at Warren and Mahoney Architects Ltd,"Christchurch Central, Canterbury",Banking & Financial Services,Analysis & Reporting,,,
Technical Business Analyst,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Commercial Business Analyst,,at Vitaco Health NZ Ltd,"East Tamaki, Auckland",Accounting,Analysis & Reporting,,,
Compliance Analyst,,at Windcave Limited,"Ellerslie, Auckland",Banking & Financial Services,Compliance & Risk,,,
Fraud Analyst,,at Rabobank,"Wellington Central, Wellington",Banking & Financial Services,Analysis & Reporting,,,
Senior Accounting Position,,at Flannery Tait,"Alexandra, Otago",Accounting,Financial Accounting & Reporting,,,
Geospatial Data Analyst,,at Watercare Services Limited,"Newmarket, Auckland",Information & Communication Technology,Database Development & Administration,,,
Investment Operations Analyst,,at Apex Fund Services Australia Pty Ltd,"Wellington Central, Wellington",Banking & Financial Services,Funds Management,,,
Customer Analytics Lead - Sydney/Adelaide/Auckland,,at Humm Group Limited,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Revenue Analyst,,at KiwiRail,"Auckland CBD, Auckland",Accounting,Financial Accounting & Reporting,,,
Business Analyst,,at Presto Resourcing,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Business Intelligence Manager,,at THINK Hauora,"Palmerston North Central, Manawatu",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at solarZero,"Eden Terrace, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Engineer,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Information & Communication Technology,Other,,,
Technical Business Analyst,,at VeriFone,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Procurement Analyst,,at Coda Group,"Penrose, Auckland",Accounting,Analysis & Reporting,,,
Senior Data Engineer,,at Absolute IT Limited,Wellington,Information & Communication Technology,Engineering - Software,,,
Business Analyst,,at Crew Technology Recruitment,"Dunedin, Otago",Information & Communication Technology,Business/Systems Analysts,,,
Scrum Lead - Data Management & Information Delivery - Wellington,,at Ministry of Social Development,"Wellington Central, Wellington",Government & Defence,Government,,,
Business Analyst,,at Absolute IT Limited,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst - Fixed Term Contract,,at Sourced | IT Recruitment Specialists,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Multiple SAS/SQL Developers,,at Likemind,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
CONTRACT Senior Business Analyst (Health),,at Sunstone Talent,"Christchurch, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Commercial Analyst,,at Find Recruitment,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
Support Analyst,,at Chorus,"Christchurch, Canterbury",Information & Communication Technology,Telecommunications,,,
Senior Analyst,,at Ministry of Justice,"Wellington Central, Wellington",Government & Defence,Government,,,
Investment Analyst,,at Auckland UniServices Limited,"Auckland CBD, Auckland",Consulting & Strategy,Analysts,,,
Senior Business Intelligence Analyst,,at Tertiary Education Commission,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Senior Workday HCM Analyst,,at Xero,"Te Aro, Wellington",Information & Communication Technology,Developers/Programmers,,,
Junior Business Intelligence Developer,,at New Zealand Health Group,"Christchurch Central, Canterbury",Information & Communication Technology,Developers/Programmers,,,
GIS Analyst,,at HR South,"Invercargill Central, Southland",Information & Communication Technology,Other,,,
Senior Data Consultant,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Domain Specialist L2 - Tactical and Operational Planning,,at Inland Revenue,"Wellington Central, Wellington",Banking & Financial Services,Analysis & Reporting,,,
Chapter Lead- BA,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Risk Analyst,,at ANZ Banking group,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Contract Forecast & Reporting Analyst,,at Profile Group,"Christchurch, Canterbury",Accounting,Analysis & Reporting,,,
Lead Business Analyst,,at Talent – Winner SEEK Large Recruitment Agency of the Year 2019,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst Consultant,,at Redvespa Consultants Limited,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Junior Business Intelligence Developer,,at New Zealand Health Group,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Fletcher NZ Distribution – Data Governance Steward,,at PlaceMakers,"Penrose, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Warehouse Developer,,at Hudson - Data & Analytics,Wellington,Information & Communication Technology,Database Development & Administration,,,
Senior Business Analyst - 12 month fixed term,,at Robert Walters,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Category Analyst,,at Cultivate,"Auckland CBD, Auckland","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Data Engineer,,at Westpac,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Junior Business Intelligence Developer,,at New Zealand Health Group,"Auckland CBD, Auckland",Information & Communication Technology,Developers/Programmers,,,
Financial Business Analyst,,at Crescent Consulting,"Christchurch, Canterbury",Accounting,Analysis & Reporting,,,
Senior Business Analyst - Data,,at Finite920,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Database Engineer,,at Socialite Recruitment Ltd.,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Senior Software Engineer with Data Science Experience,,at xOPT,"Takapuna, Auckland",Information & Communication Technology,Engineering - Software,,,
Senior Accounting Position,,at Flannery Tait,"Alexandra, Otago",Accounting,Financial Accounting & Reporting,,,
Senior Workday HCM Analyst,,at Xero,"Christchurch Central, Canterbury",Information & Communication Technology,Developers/Programmers,,,
Data Curator with Educational Expertise,,at Advanced Learning Limited,"Epsom, Auckland",Information & Communication Technology,Database Development & Administration,,,
Data/Payroll Analyst,,at EMERGENT,"Penrose, Auckland",Accounting,Payroll,,,
Data Engineer,,at Talent Army Auckland,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Application Support Analyst,,at Douglas,"Henderson, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Kaitohutohu Mātāmua/Principal Advisor – Rainbow Communities Data,,at Stats NZ,"Wellington Central, Wellington",Consulting & Strategy,Policy,,,
Senior Business Analyst,,at Finite920,Auckland,Information & Communication Technology,Testing & Quality Assurance,,,
Business Analyst,,at HR Connect Ltd,"Hamilton Central, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Solution Analyst,,at Foodstuffs North Island Ltd,"Mangere, Auckland",Information & Communication Technology,Developers/Programmers,,,
Data migration consultant - Legal practice management systems,,at Verlata Consulting,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Energy Market Analyst,,at Platinum Recruitment Limited,"Dunedin Central, Otago","Mining, Resources & Energy",Analysis & Reporting,,,
Data Warehouse Developer,,at Ryman Healthcare,"Christchurch Central, Canterbury",Information & Communication Technology,Database Development & Administration,,,
Senior Advisor Business Planning and Performance Reporting,,at Stats NZ,"Wellington Central, Wellington",Consulting & Strategy,Corporate Development,,,
Data Governance Lead,,at Crew Technology Recruitment,"Christchurch, Canterbury",Information & Communication Technology,Management,,,
Principal Data Advisor,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Technical BA (Data),,at Find IT Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at BrightSpark Recruitment,"Glenfield, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Analyst,,at PMO People,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Strategy Analyst,,at Recreational Services,"Hillcrest, Auckland",Consulting & Strategy,Analysts,,,
Digital & Data Chapter Lead,,at ESR,Auckland,Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Senior Remuneration Analyst,,at NZDF,"Wellington Central, Wellington",Human Resources & Recruitment,Remuneration & Benefits,,,
Financial Analyst,,at TracPlus Limited,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
Geospatial Data Analyst,,at Watercare Services Limited,"Newmarket, Auckland",Information & Communication Technology,Database Development & Administration,,,
Senior Data Engineer (Contract),,at Find IT Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Permanent Business Analysts,,at Taska360,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Master Data Analyst,,at Absolute IT Limited,"Tauranga Central, Bay of Plenty",Information & Communication Technology,Database Development & Administration,,,
Senior Business Analyst,,at Fulton Hogan,"Burnside, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
PostgreSQL DBA,,at Find IT Recruitment,"Wellington Central, Wellington",Information & Communication Technology,Database Development & Administration,,,
Business Analyst,,at Hill Laboratories,"Hamilton Lake, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Senior Business Intelligence Developer,,at Tribe (New Zealand) Limited,Auckland,Information & Communication Technology,Developers/Programmers,,,
Application Specialist,,at Kiwibank,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Younity,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Governance Lead,,at Crew Technology Recruitment,"Dunedin, Otago",Information & Communication Technology,Management,,,
Business Intelligence Analyst,,at Cristal Air International Ltd,"Penrose, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Big Data Engineer,,at Find IT Recruitment,"Auckland CBD, Auckland",Information & Communication Technology,Engineering - Software,,,
Data Engineer,,at Hays | Technology,"Auckland CBD, Auckland",Consulting & Strategy,Other,,,
Applications Support Analyst,,at Kapiti Coast District Council,"Paraparaumu, Wellington",Information & Communication Technology,Help Desk & IT Support,,,
Projects and Contracts Analyst,,at Join Our Team,"Te Awamutu, Waikato",Administration & Office Support,Contracts Administration,,,
Senior Workday HCM Analyst,,at Xero,"Christchurch Central, Canterbury",Information & Communication Technology,Developers/Programmers,,,
BI Developer- Christchurch,,at TDX,"Hornby South, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst - Fixed Term 12 months,,at Find IT Recruitment,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Senior Workday HCM Analyst,,at Xero,"Parnell, Auckland",Information & Communication Technology,Developers/Programmers,,,
Data Analyst - cutting edge product.,,at Upper Echelon Limited,Wellington,Information & Communication Technology,Other,,,
Senior Scientist,,at Orbis Diagnostics Limited,"Auckland CBD, Auckland",Science & Technology,Biological & Biomedical Sciences,,,
Health and Safety Business Partner,,at GNS Science,"Taupo Central, Waikato",Human Resources & Recruitment,Occupational Health & Safety,,,
Specialist - Capital and Impairment Modelling,,at ASB Bank Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Property Analyst,,at Absolute Value Limited,"Auckland CBD, Auckland",Real Estate & Property,Analysts,,,
Planning and Intelligence Officer,,at Fire and Emergency New Zealand,"Auckland CBD, Auckland",Government & Defence,Emergency Services,,,
Application Specialist,,at Kiwibank,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Apple,"Auckland CBD, Auckland","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Business Intelligence Developer,,at Robert Walters,Wellington,Information & Communication Technology,Database Development & Administration,,,
Senior Tech BA,,at Consult Recruitment - IT & Digital,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
LPG Logistics Analyst,,at Firstgas & Rockgas,"Wellington Central, Wellington","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Article Master Data Specialist,,at Foodstuffs North Island Ltd,"Mangere, Auckland",Information & Communication Technology,Database Development & Administration,,,
Pricing Implementation Analyst (Hybrid),,at OfficeMax New Zealand Limited,"East Tamaki, Auckland",Sales,Analysis & Reporting,,,
Senior Pricing Analyst,,at FMG,"Wellington Central, Wellington",Insurance & Superannuation,Other,,,
Database Manager,,at Technology Investment Network,"Devonport, Auckland",Information & Communication Technology,Database Development & Administration,,,
Functional Analyst - Christchurch,,at Plumbing World,"Christchurch Central, Canterbury",Information & Communication Technology,Testing & Quality Assurance,,,
BI Consultant,,at 40 Foot Consulting Limited,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Technical Analyst,,at The University of Waikato,"Hamilton Central, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Management Consultant (Data Reporting and Visualisation Lead),,at RWA People - Connecting IT people with outstanding jobs,"Auckland CBD, Auckland",Information & Communication Technology,Consultants,,,
Intermediate Power BI Developer,,at Starfish Consulting,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Business Partner - Revenue,,at Wilson Parking NZ Ltd,"Auckland CBD, Auckland",Accounting,Management Accounting & Budgeting,,,
Business Analyst (Value Stream),,at Tasman District Council,"Richmond, Tasman",Consulting & Strategy,Analysts,,,
Data & Insights Manager,,at Absolute IT Limited,"Hamilton, Waikato",Information & Communication Technology,Other,,,
Senior Scientist,,at Orbis Diagnostics Limited,"Auckland CBD, Auckland",Science & Technology,Biological & Biomedical Sciences,,,
Financial Analyst,,at TracPlus Limited,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
GIS Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Analyst & Senior Analyst,,at flexhive by Hudson,"Wellington Central, Wellington",Government & Defence,Government,,,
Senior Markets Analyst,,at Reserve Bank of New Zealand,"Auckland CBD, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Senior Business Analyst,,at Tribe (New Zealand) Limited,Auckland,Information & Communication Technology,Business/Systems Analysts,,,
BI Developer /Analyst,,at Beyond Recruitment - Winner - Best Innovation -2018 Global Recruiter Awards,"East Tamaki, Auckland",Information & Communication Technology,Database Development & Administration,,,
Model Assurance Specialist,,at ASB Bank Limited,"Auckland CBD, Auckland",Banking & Financial Services,Compliance & Risk,,,
Financial Analyst,,at TracPlus Limited,"Auckland CBD, Auckland",Accounting,Analysis & Reporting,,,
SENIOR BUSINESS ANALYST x2 - KAITĀTARI MATUA ŪMANGA,,at Taupo District Council,"Taupo Central, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Finance Analyst,,at Farrow Jamieson Ltd,"Greenlane, Auckland",Banking & Financial Services,Analysis & Reporting,,,
Senior Markets Analyst,,at Reserve Bank of New Zealand,Wellington,Banking & Financial Services,Analysis & Reporting,,,
Intelligence analyst,,at Waka Kotahi - NZ Transport Agency,"Christchurch, Canterbury",Government & Defence,Other,,,
Data Angler,,at phil & teds,"Newtown, Wellington","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Business Analyst - Contract Opportunities,,at Brannigans Consulting Limited,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
